,Date,Open,Close,High,Low,Volume
0,20221123 03:55:00 America/Chicago,0.26192938,0.26192938,0.26192938,0.26192938,1
1,20221123 18:55:00 America/Chicago,0.26192938,0.26192938,0.26192938,0.26192938,1
2,20221125 15:55:00 America/Chicago,0.24446742,0.24446742,0.24446742,0.24446742,1
3,20221128 03:55:00 America/Chicago,0.24129252,0.24129252,0.24129252,0.24129252,1
4,20221128 18:55:00 America/Chicago,0.24129252,0.24129252,0.24129252,0.24129252,1
5,20221129 03:55:00 America/Chicago,0.23494272,0.23494272,0.23494272,0.23494272,1
6,20221129 18:55:00 America/Chicago,0.23494272,0.23494272,0.23494272,0.23494272,1
7,20221130 03:55:00 America/Chicago,0.22859291,0.22859291,0.22859291,0.22859291,1
8,20221130 18:55:00 America/Chicago,0.22859291,0.22859291,0.22859291,0.22859291,1
9,20221201 03:55:00 America/Chicago,0.22700546,0.22700546,0.22700546,0.22700546,1
10,20221201 18:55:00 America/Chicago,0.22700546,0.22700546,0.22700546,0.22700546,1
11,20221202 03:55:00 America/Chicago,0.22541801,0.22541801,0.22541801,0.22541801,1
12,20221202 18:55:00 America/Chicago,0.22541801,0.22541801,0.22541801,0.22541801,1
13,20221205 03:55:00 America/Chicago,0.22541801,0.22541801,0.22541801,0.22541801,1
14,20221205 18:55:00 America/Chicago,0.22541801,0.22541801,0.22541801,0.22541801,1
15,20221206 03:55:00 America/Chicago,0.22383056,0.22383056,0.22383056,0.22383056,1
16,20221206 18:55:00 America/Chicago,0.22383056,0.22383056,0.22383056,0.22383056,1
17,20221207 03:55:00 America/Chicago,0.22383056,0.22383056,0.22383056,0.22383056,1
18,20221207 18:55:00 America/Chicago,0.22383056,0.22383056,0.22383056,0.22383056,1
19,20221208 03:55:00 America/Chicago,0.22224311,0.22224311,0.22224311,0.22224311,1
20,20221208 18:55:00 America/Chicago,0.22224311,0.22224311,0.22224311,0.22224311,1
21,20221209 03:55:00 America/Chicago,0.22065566,0.22065566,0.22065566,0.22065566,1
22,20221209 18:55:00 America/Chicago,0.22065566,0.22065566,0.22065566,0.22065566,1
23,20221212 03:55:00 America/Chicago,0.22065566,0.22065566,0.22065566,0.22065566,1
24,20221212 18:55:00 America/Chicago,0.22065566,0.22065566,0.22065566,0.22065566,1
25,20221213 03:55:00 America/Chicago,0.23653017,0.23653017,0.23653017,0.23653017,1
26,20221213 18:55:00 America/Chicago,0.23653017,0.23653017,0.23653017,0.23653017,1
27,20221214 03:55:00 America/Chicago,0.23811762,0.23811762,0.23811762,0.23811762,1
28,20221214 18:55:00 America/Chicago,0.23811762,0.23811762,0.23811762,0.23811762,1
29,20221215 03:55:00 America/Chicago,0.23494272,0.23494272,0.23494272,0.23494272,1
30,20221215 18:55:00 America/Chicago,0.23494272,0.23494272,0.23494272,0.23494272,1
31,20221216 03:55:00 America/Chicago,0.23653017,0.23653017,0.23653017,0.23653017,1
32,20221216 18:55:00 America/Chicago,0.23653017,0.23653017,0.23653017,0.23653017,1
33,20221219 03:55:00 America/Chicago,0.22859291,0.22859291,0.22859291,0.22859291,1
34,20221219 18:55:00 America/Chicago,0.22859291,0.22859291,0.22859291,0.22859291,1
35,20221220 03:55:00 America/Chicago,0.22700546,0.22700546,0.22700546,0.22700546,1
36,20221220 18:55:00 America/Chicago,0.22700546,0.22700546,0.22700546,0.22700546,1
37,20221221 03:55:00 America/Chicago,0.22541801,0.22541801,0.22541801,0.22541801,1
38,20221221 18:55:00 America/Chicago,0.22541801,0.22541801,0.22541801,0.22541801,1
